Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Aaron Dobson,3000,Final,8.8,NE
RB,Bernard Pierce,3000,Final,0.9,Jax
WR,Stedman Bailey,3000,Final,4.9,StL
WR,Quincy Enunwa,3000,Final,1.85,NYJ
RB,Jay Prosch,3000,Final,0.2,Hou
RB,Jalston Fowler,3000,Final,1.6,Ten
WR,TJ Jones,3000,In Progress,0,Det
RB,Roosevelt Nix,3000,Final,0,Pit
WR,Rod Streater,3000,Final,1.8,Oak
RB,Marcus Murphy,3000,Final,0,NO
RB,Malcolm Johnson,3000,Final,1.7,Cle
WR,Josh Huff,3000,Final,3.95,Phi
RB,Juwan Thompson,3000,In Progress,0,Den
RB,Michael Burton,3000,In Progress,0.1,Det
WR,Albert Wilson,3000,KC@GB 08:30PM ET,2.75,KC
RB,Corey Grant,3000,Final,0.8,Jax
WR,DeAndrew White,3000,Final,3.8,SF
WR,Tyler Murphy,3000,Final,1.3,Pit
WR,Matt Hazel,3000,Final,0,Mia
WR,Keith Mumphery,3000,Final,2.15,Hou
RB,Jeremy Langford,3000,Final,4.1,Chi
WR,Justin Hardy,3000,Final,0,Atl
WR,J.J. Nelson,3000,Final,-0.5,Ari
WR,Andre Holmes,3000,Final,4,Oak
WR,Corey Fuller,3000,In Progress,0,Det
RB,Jamize Olawale,3000,Final,5.5,Oak
WR,Cameron Meredith,3000,Final,6.6,Chi
RB,Jerick McKinnon,3000,Final,2.7,Min
RB,Antonio Andrews,3000,Final,0,Ten
WR,Chris Hogan,3000,Final,1.05,Buf
RB,Zach Zenner,3000,In Progress,0.3,Det
RB,Terrence Magee,3000,Final,0,Bal
RB,Terron Ward,3000,Final,0.95,Atl
WR,Willie Snead,3000,Final,10.35,NO
WR,Quinton Patton,3000,Final,3.25,SF
WR,Sammie Coates,3000,Final,0,Pit
RB,Ka'Deem Carey,3000,Final,0,Chi
WR,Ty Montgomery,3000,KC@GB 08:30PM ET,3.85,GB
WR,Darren Waller,3000,Final,0,Bal
WR,Adam Humphries,3000,Final,1.7,TB
